Gallardo Hernandez, Juan Humberto	00091813

Ejercicio Heapsort a pata.


*: valores intercambiados en ese paso
|: valores a la derecha ya ordenados en ese paso


 88   85   83   72   73   42   57   06   48   60 
*60   85   83   72   73   42   57   06   48 |*88 
*85  *60   83   72   73   42   57   06   48  |88 
 85  *73   83   72  *60   42   57   06   48  |88 
*48   73   83   72   60   42   57   06 |*85   88 
*83   73  *48   72   60   42   57   06  |85   88 
 83   73  *57   72   60   42  *48   06  |85   88 
*06   73   57   72   60   42   48 |*83   85   88 
*73  *06   57   72   60   42   48  |83   85   88 
 73  *72   57  *06   60   42   48  |83   85   88 
*48   72   57   06   60   42 |*73   83   85   88 
*72  *48   57   06   60   42  |73   83   85   88 
 72  *60   57   06  *48   42  |73   83   85   88 
*42   60   57   06   48 |*72   73   83   85   88 
*60  *42   57   06   48  |72   73   83   85   88 
 60  *48   57   06  *42  |72   73   83   85   88 
*42   48   57   06 |*60   72   73   83   85   88 
*57   48  *42   06  |60   72   73   83   85   88 
*06   48   42 |*57   60   72   73   83   85   88 
*48  *06   42  |57   60   72   73   83   85   88 
*42   06 |*48   57   60   72   73   83   85   88 
*06 |*42   48   57   60   72   73   83   85   88 
